2020-03-13	云南	蔬菜	75	756	1169
2020-02-21	湖北	N95	732	20557	17387
2020-02-21	浙江	口罩	1031	3472	4367
2020-02-21	湖北	口罩	4743	20557	17387
2020-01-29	河南	口罩	764	2583	2732
2020-03-08	湖北	口罩	2355	8902	7943
2020-03-08	河南	口罩	402	1452	1726
2020-02-18	湖北	药物	1007	23593	19495
2020-02-18	湖北	温度计	102	23593	19495
2020-02-18	湖北	饮食	170	23593	19495
2020-02-18	湖北	猪肉	195	23593	19495
2020-02-18	湖北	酒精	670	23593	19495
2019-12-27	上海	药物	4	22	38
2020-03-10	台湾	药物	3	151	329
2020-03-02	江苏	口罩	762	2251	2837
2020-01-27	广东	饮食	46	4133	3964
2020-01-26	湖北	口罩	5683	20686	12257
2019-12-11	安徽	猪肉	22	28	36
2019-12-11	吉林	药物	1	6	19
2019-12-01	上海	抗生素	1	10	22
2019-12-02	海南	食品	1	1	8
2019-12-02	青海	食品	1	1	7
2019-12-01	湖南	蔬菜	1	7	15
2019-12-01	广西	食物	1	9	18
2019-12-01	广东	蔬菜	1	22	34
2019-12-01	四川	食物	1	5	17
2019-12-01	江西	食物	1	7	9
2019-12-01	贵州	蔬菜	1	3	15
2019-12-01	贵州	食物	1	3	15
2019-12-01	四川	蔬菜	1	5	17
2019-12-01	广西	蔬菜	1	9	18
2019-12-01	江西	蔬菜	1	7	9
2019-12-01	湖北	蔬菜	1	8	12
2019-12-01	湖北	食物	1	8	12
2019-12-01	湖南	食物	1	7	15
2019-12-01	广东	食物	1	22	34
2019-12-10	上海	口罩	1	12	45
2019-12-01	上海	水果	1	10	22
2019-12-01	山东	猪肉	3	11	16
2019-12-01	江西	猪肉	4	7	9
2019-12-01	安徽	食品	4	8	11
2019-12-01	广东	食品	1	22	34
2019-12-01	安徽	猪肉	1	8	11
2019-12-01	广东	猪肉	6	22	34
2019-12-01	福建	手套	1	8	8
2019-12-01	福建	食品	1	8	8
2019-12-01	福建	戴口罩	1	8	8
2019-12-01	福建	消毒液	1	8	8
2019-12-01	吉林	药品	1	1	9
2019-12-01	山西	鸡蛋	1	1	14
2019-12-01	陕西	鸡蛋	1	3	7
2019-12-01	河南	酒精	1	12	21
2019-12-01	甘肃	酒精	1	2	6
2019-12-01	辽宁	猪肉	1	2	8
2019-12-01	甘肃	猪肉	1	2	6
2019-12-01	宁夏	猪肉	1	1	1
2019-12-01	广东	药品	8	22	34
2019-12-01	河南	药品	2	12	21
2019-12-01	北京	鸡蛋	4	21	33
2019-12-01	江苏	药物	1	5	16
2019-12-01	江苏	药品	2	5	16
2019-12-01	山东	抗生素	1	11	16
2019-12-01	山东	鸡蛋	1	11	16
2019-12-01	北京	药物	9	21	33
2019-12-01	湖北	药物	6	8	12
2019-12-01	云南	药物	1	1	10
2019-12-01	湖南	猪肉	4	7	15
2019-12-01	广东	酒精	1	22	34
2019-12-01	河南	药物	2	12	21
2019-12-01	台湾	药物	2	2	7
2019-12-01	山东	饮食	1	11	16
2019-12-01	山东	药物	2	11	16
2019-12-01	贵州	药物	1	3	15
2019-12-01	广东	口罩	1	22	34
2019-12-01	河南	猪肉	7	12	21
2019-12-01	北京	酒精	4	21	33
2019-12-01	上海	药物	5	10	22
2019-12-01	陕西	口罩	1	3	7
2019-12-01	北京	猪肉	3	21	33
2019-12-01	重庆	猪肉	2	8	12
